repo,owner,url,forks,stars
PermissionsDispatcher,permissions-dispatcher,https://api.github.com/repos/permissions-dispatcher/PermissionsDispatcher,1253,9124
MaterialDesignLibrary,navasmdc,https://api.github.com/repos/navasmdc/MaterialDesignLibrary,2398,9052
storm,nathanmarz,https://api.github.com/repos/nathanmarz/storm,1771,9049
mockito,mockito,https://api.github.com/repos/mockito/mockito,1611,9007
DoraemonKit,didi,https://api.github.com/repos/didi/DoraemonKit,1082,8955
pinpoint,naver,https://api.github.com/repos/naver/pinpoint,2745,8925
uCrop,Yalantis,https://api.github.com/repos/Yalantis/uCrop,1579,8863
FlycoTabLayout,H07000223,https://api.github.com/repos/H07000223/FlycoTabLayout,1907,8800
Android-PullToRefresh,chrisbanes,https://api.github.com/repos/chrisbanes/Android-PullToRefresh,5018,8791
AVLoadingIndicatorView,81813780,https://api.github.com/repos/81813780/AVLoadingIndicatorView,1721,8705
SpringCloudLearning,forezp,https://api.github.com/repos/forezp/SpringCloudLearning,4698,8667
FileDownloader,lingochamp,https://api.github.com/repos/lingochamp/FileDownloader,1772,8603
banner,youth5201314,https://api.github.com/repos/youth5201314/banner,1712,8525
MVPArms,JessYanCoding,https://api.github.com/repos/JessYanCoding/MVPArms,2000,8411
Apktool,iBotPeaches,https://api.github.com/repos/iBotPeaches/Apktool,2157,8397
Calligraphy,chrisjenx,https://api.github.com/repos/chrisjenx/Calligraphy,1064,8304
incubator-druid,apache,https://api.github.com/repos/apache/incubator-druid,2077,8302
jedis,xetorthio,https://api.github.com/repos/xetorthio/jedis,3093,8273
guice,google,https://api.github.com/repos/google/guice,1231,8256
rocketmq,apache,https://api.github.com/repos/apache/rocketmq,4217,8229
webmagic,code4craft,https://api.github.com/repos/code4craft/webmagic,3509,8150
MaterialViewPager,florent37,https://api.github.com/repos/florent37/MaterialViewPager,1509,8000
