repo,owner,url,forks,stars
httparty,jnunemaker,https://api.github.com/repos/jnunemaker/httparty,846,4919
active_model_serializers,rails-api,https://api.github.com/repos/rails-api/active_model_serializers,1311,4850
slim,slim-template,https://api.github.com/repos/slim-template/slim,473,4840
t,sferik,https://api.github.com/repos/sferik/t,380,4824
pghero,ankane,https://api.github.com/repos/ankane/pghero,244,4779
evil-icons,evil-icons,https://api.github.com/repos/evil-icons/evil-icons,218,4758
mailcatcher,sj26,https://api.github.com/repos/sj26/mailcatcher,454,4699
draper,drapergem,https://api.github.com/repos/drapergem/draper,493,4658
rest-client,rest-client,https://api.github.com/repos/rest-client/rest-client,877,4656
sonic-pi,samaaron,https://api.github.com/repos/samaaron/sonic-pi,578,4632
bundler,bundler,https://api.github.com/repos/bundler/bundler,2059,4624
concurrent-ruby,ruby-concurrency,https://api.github.com/repos/ruby-concurrency/concurrent-ruby,298,4614
markup,github,https://api.github.com/repos/github/markup,3297,4610
neat,thoughtbot,https://api.github.com/repos/thoughtbot/neat,429,4593
shenzhen,nomad,https://api.github.com/repos/nomad/shenzhen,512,4579
